fecha_publicacion_ta;c1;c2;;enlace_infocomplementaria;;;;;;;enlace_tramites
14-09-2022;fklkfd;fklkfd;;http://www.sipel.subdere.gov.cl/octava/index.php/auth/login target=_blankEnlace/a;;;;;;;http://www.sipel.subdere.gov.cl/octava/index.php/auth/login target=_blankEnlace/a
14-09-2022; flkdfk; flkdfk;;http://registroasociaciones.subdere.gov.cl/ target=_blankEnlace/a;;;;;;;No tiene
14-09-2022;dssdsf  ;dssdsf  ;;Sin informacion;;;;;;;No tiene
14-09-2022;fsldksfksd   ;fsldksfksd;;Sin informacion;;;;;;;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=1e2a833782d3fb4a49cedac542409445 target=_blankEnlace/a
14-09-2022;;;;http://www.dtpr.cl/rtm target=_blankEnlace/a;;;;;;;http://www.dtpr.cl/rtm target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.leylobby.gob.cl/instituciones/AB075 target=_blankEnlace/a
14-09-2022;;;;http://www.goretarapaca.gov.cl/transparencia/web/index.php?action=plantillas_generar_archivo&ig=41&m=2&a=2021&ia=4176 target=_blankEnlace/a;;;;;;;https://goretarapacaenlinea.chilesinpapeleo.cl/home/index target=_blankEnlace/a
14-09-2022;;;;http://www.goretarapaca.gov.cl/transparencia/web/index.php?action=plantillas_generar_archivo&ig=41&m=2&a=2021&ia=4177 target=_blankEnlace/a;;;;;;;https://goretarapacaenlinea.chilesinpapeleo.cl/home/index target=_blankEnlace/a
14-09-2022;;;;http://www.goretarapaca.gov.cl/transparencia/web/index.php?action=plantillas_generar_archivo&ig=41&m=2&a=2021&ia=4180 target=_blankEnlace/a;;;;;;;https://goretarapacaenlinea.chilesinpapeleo.cl/home/index target=_blankEnlace/a
14-09-2022;;;;http://www.goretarapaca.gov.cl/transparencia/web/index.php?action=plantillas_generar_archivo&ig=41&m=2&a=2021&ia=4178 target=_blankEnlace/a;;;;;;;https://goretarapacaenlinea.chilesinpapeleo.cl/home/index target=_blankEnlace/a
14-09-2022;;;;http://www.goretarapaca.gov.cl/transparencia/web/index.php?action=plantillas_generar_archivo&ig=41&m=2&a=2021&ia=4181 target=_blankEnlace/a;;;;;;;https://goretarapacaenlinea.chilesinpapeleo.cl/home/index target=_blankEnlace/a
14-09-2022;;;;http://www.goretarapaca.gov.cl/transparencia/web/index.php?action=plantillas_generar_archivo&ig=41&m=2&a=2021&ia=4181 target=_blankEnlace/a;;;;;;;https://goretarapacaenlinea.chilesinpapeleo.cl/home/index target=_blankEnlace/a
14-09-2022;;;;http://www.goretarapaca.gov.cl/transparencia/web/index.php?action=plantillas_generar_archivo&ig=41&m=2&a=2021&ia=4182 target=_blankEnlace/a;;;;;;;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=undefined target=_blankEnlace/a
14-09-2022;;;;Sin informacion;;;;;;;https://www.goreantofagasta.cl/contactenos/goreantofagasta/2019-07-04/094451.html target=_blankEnlace/a
14-09-2022;;;;https://www.concursosregionantofagasta.cl/web/index.php/concurso-adulto-mayor-activo-2020/ target=_blankEnlace/a;;;;;;;No tiene
