Codigo_padre;Padre_org
ASOC;ASOCIACION MUNICIPAL
AO000;SALUD
CM000;CORPORACIONES MUNICIPALES
AP000;VIVIENDA Y URBANISMO
AB000;INTERIOR Y SEGURIDAD PUBLICA
AK000;JUSTICIA
UN000;UNIVERSIDADES
EP000;EMPRESAS Y SOCIEDADES
MU000;MUNICIPIOS DE TARAPACA
PP000;PARTIDOS POLITICOS
CF000;CENTRO DE FORMACION TECNICA
MU000;MUNICIPIOS DE LOS LAGOS
AJ000;EDUCACION
MU000;MUNICIPIOS DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO
AC000;RELACIONES EXTERIORES
MU000;MUNICIPIOS DE MAGALLANES Y DE LA ANTARTICA CHILENA
AE000;HACIENDA
BC000;CULTURAS Y LAS ARTES
AL000;TRABAJO Y PREVISION SOCIAL
AQ000;BIENES NACIONALES
AI000;DESARROLLO SOCIAL
AH000;ECONOMIA FOMENTO Y TURISMO
BB000;LA MUJER Y EQUIDAD DE GENERO
AD000;DEFENSA NACIONAL
AG000;SECRETARIA GENERAL DE GOBIERNO
AR000;AGRICULTURA
AU000;ENERGIA
BD000;CIENCIA TECNOLOGIA E INNOVACION
AM000;OBRAS PUBLICAS
AW000;MEDIO AMBIENTE
AN000;TRANSPORTES Y TELECOMUNICACIONES
CT000;CONSEJO PARA LA TRANSPARENCIA
NRJUD;PODER JUDICIAL
NRCGR;CONTRALORIA DE LA REPUBLICA
NRSVL;SERVICIO ELECTORAL
FU000;FUNDACIONES Y CORPORACIONES
MU000;MUNICIPIOS DE R. METROPOLITANA DE SANTIAGO
NRCCO;CONVENCION CONSTITUCIONAL
AA000;PRESIDENCIA DE LA REPUBLICA
NRTRC;TRIBUNAL CONSTITUCIONAL
AM012;INSTITUTO NACIONAL DE HIDRAULICA (INH)
AF000;SECRETARIA GENERAL DE LA PRESIDENCIA
NRMPU;MINISTERIO PUBLICO
AS000;MINERIA
AX000;CONSEJO DEFENSA DEL ESTADO
BA000;DEPORTE
CO005;DEFENSORIA DE LOS DERECHOS DE LA NINEZ
CO001;INSTITUTO DERECHOS HUMANOS
MU000;MUNICIPIOS DE LOS RIOS
MU000;MUNICIPIOS DE ARICA Y PARINACOTA
MU000;MUNICIPIOS DE NUBLE
MU000;MUNICIPIOS DE ANTOFAGASTA
MU000;MUNICIPIOS DE ATACAMA
MU000;MUNICIPIOS DE COQUIMBO
NRCON;CONGRESO NACIONAL
MU000;MUNICIPIOS DE VALPARAISO
AV000;CONSEJO DE CULTURA Y ARTES
MU000;MUNICIPIOS DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
MU000;MUNICIPIOS DEL MAULE
MU000;MUNICIPIOS DEL BIOBIO
MU000;MUNICIPIOS DE LA ARAUCANIA
CO006;CONSEJO FISCAL AUTONOMO
