Codigo_org;idOrg;Codigo_padre;Region;Municipalidad;url_sai;Ingresa;obligadorecibir_sai;tiene_ta
MA031;327550;ASOC;Sin especificar;SIN ESPECIFICAR;http://;NO INGRESA;SI;SI
MA044;327800;ASOC;Sin especificar;;https://www.portaltransparencia.cl/PortalPdT/;INGRESA;SI;SI
AO068;907;AO000;Region de Tarapaca;IQUIQUE;http://transparencia.redsalud.gob.cl/transparencia/public/AO068/solicitud_informacion_1.html;INGRESA;SI;SI
CM038;58864;CM000;Region de Tarapaca;IQUIQUE;http://solicitudes.cormudesi.cl/;NO INGRESA;SI;NO
AP002;941;AP000;Region de Tarapaca;IQUIQUE;http://solicitudinformacion.minvu.cl/;INGRESA;SI;SI
AB076;829;AB000;Region de Tarapaca;IQUIQUE;http://www.goretarapaca.gov.cl/transparencia/solicitud_informacion.html;INGRESA;SI;SI
AK010;1025;AK000;Region de Tarapaca;IQUIQUE;http://cajta.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AB017;771;AB000;Region de Tarapaca;IQUIQUE;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
MA013;329312;ASOC;Region de Tarapaca;IQUIQUE;http://;NO INGRESA;SI;SI
AP020;331451;AP000;Region de Tarapaca;IQUIQUE;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1057;INGRESA;SI;SI
UN002;1082;UN000;Region de Tarapaca;IQUIQUE;http://transparencia.unap.cl/pasiva/web/index.php?action=login_solicitud_informacion&solicitud_informacion=1;NO INGRESA;SI;SI
AO040;56251;AO000;Region de Tarapaca;IQUIQUE;http://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=AO040;INGRESA;SI;SI
AB024;778;AB000;Region de Tarapaca;IQUIQUE;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AB017;NO INGRESA;SI;NO
EP017;1110;EP000;Region de Tarapaca;IQUIQUE;http://;NO INGRESA;NO;NO
MU112;558;MU000;Region de Tarapaca;IQUIQUE;http://www.iquiquetransparente.cl/solicitud.html;INGRESA;SI;SI
AO017;871;AO000;Region de Tarapaca;IQUIQUE;http://transparencia.redsalud.gob.cl/transparencia/public/ssiquique/solicitud_informacion.html;INGRESA;SI;SI
PP048;328800;PP000;Region de Tarapaca;IQUIQUE;http://;NO INGRESA;NO;SI
CM221;6796;CM000;Region de Tarapaca;IQUIQUE;http://;NO INGRESA;SI;NO
EP027;1103;EP000;Region de Tarapaca;IQUIQUE;http://;NO INGRESA;SI;NO
CM062;331500;CM000;Region de Tarapaca;IQUIQUE;http://;INGRESA;SI;SI
CM179;6754;CM000;Region de Tarapaca;ALTO HOSPICIO;http://;NO INGRESA;SI;SI
MU005;465;MU000;Region de Tarapaca;ALTO HOSPICIO;http://maho.cl/pdf/Formulario%20de%20solicitud%20de%20informacion.pdf;INGRESA;SI;SI
MA057;329302;ASOC;Region de Tarapaca;ALTO HOSPICIO;http://;NO INGRESA;SI;NO
CF003;329550;CF000;Region de Tarapaca;ALTO HOSPICIO;http://;INGRESA;SI;SI
CM034;58860;CM000;Region de Tarapaca;POZO ALMONTE;http://miguelbustos.wixsite.com/cormudespa/formulario-solicitud-transparencia;INGRESA;SI;SI
CM236;6811;CM000;Region de Tarapaca;POZO ALMONTE;http://;NO INGRESA;SI;NO
AB025;779;AB000;Region de Tarapaca;POZO ALMONTE;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
MU226;655;MU000;Region de Tarapaca;POZO ALMONTE;http://www.impatransparente.cl/solicitud_informacion.html;INGRESA;SI;SI
MU025;482;MU000;Region de Tarapaca;CAMINA;http://www.xn--municipalidaddecamia-m7b.cl/?page_id=546;INGRESA;SI;SI
MU056;508;MU000;Region de Tarapaca;COLCHANE;http://www.municipalidadecolchane.cl/transparencia-2/formulario-solicitud-de-acceso-a-informacion-publica-ley-20-285/;INGRESA;SI;SI
MU107;553;MU000;Region de Tarapaca;HUARA;http://www.municipiostransparentes.cl/instituciones/ver/38/13;INGRESA;SI;SI
MU217;647;MU000;Region de Tarapaca;PICA;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=647;INGRESA;SI;SI
AO090;921;AO000;Region de Los Lagos;PUERTO MONTT;http://transparencia.redsalud.gov.cl/transparencia/public/AO090/solicitud_informacion.html;INGRESA;SI;SI
CM084;6659;CM000;Region de Los Lagos;PUERTO MONTT;http://;NO INGRESA;SI;NO
AB013;767;AB000;Region de Los Lagos;PUERTO MONTT;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
AB087;970;AB000;Region de Los Lagos;PUERTO MONTT;http://goreloslagos.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
MU233;662;MU000;Region de Los Lagos;PUERTO MONTT;http://transparencia.puertomonttchile.cl/index.php?option=com_content&view=article&id=338&Itemid=360;INGRESA;SI;SI
AO037;891;AO000;Region de Los Lagos;PUERTO MONTT;http://transparencia.redsalud.gob.cl/transparencia/public/ssreloncavi/solicitud_informacion.html;INGRESA;SI;SI
EP018;1111;EP000;Region de Los Lagos;PUERTO MONTT;http://;NO INGRESA;NO;NO
AO051;56351;AO000;Region de Los Lagos;PUERTO MONTT;http://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=AO051;INGRESA;SI;SI
AB058;812;AB000;Region de Los Lagos;PUERTO MONTT;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AB013;NO INGRESA;SI;NO
AP012;951;AP000;Region de Los Lagos;PUERTO MONTT;http://solicitudinformacion.minvu.cl/;INGRESA;SI;SI
MU020;478;MU000;Region de Los Lagos;CALBUCO;http://transparencia.municipalidadcalbuco.cl/;INGRESA;SI;SI
CM117;6692;CM000;Region de Los Lagos;CALBUCO;http://;NO INGRESA;SI;NO
MU049;502;MU000;Region de Los Lagos;COCHAMO;http://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=MU049;INGRESA;SI;SI
MU093;540;MU000;Region de Los Lagos;FRESIA;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=4d413c70b46f41347a8cb04ea1e859b7;INGRESA;SI;SI
AJ028;330802;AJ000;Region de Los Lagos;FRUTILLAR;http://;INGRESA;SI;SI
MU094;541;MU000;Region de Los Lagos;FRUTILLAR;https://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=MU094;INGRESA;SI;SI
MU155;594;MU000;Region de Los Lagos;LOS MUERMOS;http://www.muermos.cl/transparencia2.0/index.php/form;INGRESA;SI;SI
CM214;6789;CM000;Region de Los Lagos;LOS MUERMOS;http://;NO INGRESA;SI;SI
MU142;582;MU000;Region de Los Lagos;LLANQUIHUE;http://www.munillanquihue.cl/;INGRESA;SI;SI
CF005;329850;CF000;Region de Los Lagos;LLANQUIHUE;http://;INGRESA;SI;SI
MA052;329301;ASOC;Region de Los Lagos;LLANQUIHUE;http://;NO INGRESA;SI;SI
MU170;606;MU000;Region de Los Lagos;MAULLIN;http://www.munimaullin.cl/portada/index.php?option=com_content&view=article&id=1034&Itemid=53;INGRESA;SI;SI
MU236;665;MU000;Region de Los Lagos;PUERTO VARAS;http://www.ptovaras.cl/web2/index.php?pag=trans_solicitud&destino=3;INGRESA;SI;SI
MA017;329306;ASOC;Region de Los Lagos;PUERTO VARAS;http://;NO INGRESA;SI;SI
MA025;328000;ASOC;Region de Los Lagos;PUERTO VARAS;http://;NO INGRESA;SI;SI
AO035;889;AO000;Region de Los Lagos;CASTRO;http://transparencia.redsalud.gov.cl/transparencia/public/sschiloe/solicitud_informacion.html;INGRESA;SI;SI
AB059;813;AB000;Region de Los Lagos;CASTRO;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
AO061;900;AO000;Region de Los Lagos;CASTRO;http://webhosting.redsalud.gov.cl/transparencia/public/AO061/solicitud_informacion.html;INGRESA;SI;SI
CM159;6734;CM000;Region de Los Lagos;CASTRO;http://;NO INGRESA;SI;NO
CM011;58709;CM000;Region de Los Lagos;CASTRO;http://www.corpocas.cl/new/t_solicitud+transparencia.php;INGRESA;SI;SI
MU031;486;MU000;Region de Los Lagos;CASTRO;http://www.municastro.cl/transparencia/;INGRESA;SI;SI
CM157;6732;CM000;Region de Los Lagos;ANCUD;http://;NO INGRESA;SI;NO
MU006;466;MU000;Region de Los Lagos;ANCUD;http://www.muniancud.cl/inicio/transparencia-pasiva;INGRESA;SI;SI
MA032;328350;ASOC;Region de Los Lagos;ANCUD;http://;NO INGRESA;SI;SI
CM156;6731;CM000;Region de Los Lagos;ANCUD;http://;NO INGRESA;SI;NO
CM024;58851;CM000;Region de Los Lagos;ANCUD;http://www.corporacionancud.cl/transparencia/pasiva.html;INGRESA;SI;SI
CM161;6736;CM000;Region de Los Lagos;CHONCHI;http://;NO INGRESA;SI;NO
MU046;499;MU000;Region de Los Lagos;CHONCHI;http://www.municipalidadchonchi.cl/pasiva/;INGRESA;SI;SI
CM020;58750;CM000;Region de Los Lagos;CHONCHI;http://transparencia.corporacionchonchi.cl/?p=320;INGRESA;SI;SI
CM037;58863;CM000;Region de Los Lagos;CURACO DE VELEZ;http://www.curacodevelez.cl/pasiva.cdevelez/index.php?action=solicitud_informacion;INGRESA;SI;SI
MU074;523;MU000;Region de Los Lagos;CURACO DE VELEZ;http://www.curacodevelez.cl/pasiva.cdevelez/index.php?action=solicitud_informacion;NO INGRESA;SI;SI
CM174;6749;CM000;Region de Los Lagos;CURACO DE VELEZ;http://;NO INGRESA;SI;NO
CM012;58703;CM000;Region de Los Lagos;DALCAHUE;http://;INGRESA;SI;SI
MU079;528;MU000;Region de Los Lagos;DALCAHUE;http://www.dalcahue.cl/20285/formulario_solicitud_20285_dalcahue.pdf;INGRESA;SI;SI
CM242;6817;CM000;Region de Los Lagos;PUQUELDON;http://;NO INGRESA;SI;NO
CM006;58707;CM000;Region de Los Lagos;PUQUELDON;http://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=CM006;INGRESA;SI;SI
MU240;668;MU000;Region de Los Lagos;PUQUELDON;http://www.munipuqueldon.cl/Transparencia/SubMenus/Formularios.html;INGRESA;SI;SI
CM004;58705;CM000;Region de Los Lagos;QUEILEN;http://;INGRESA;SI;SI
MU246;673;MU000;Region de Los Lagos;QUEILEN;http://transparencia.muniqueilen.cl/index.php/solicitud-de-informacion;INGRESA;SI;SI
CM243;6818;CM000;Region de Los Lagos;QUEILEN;http://;NO INGRESA;SI;NO
CM244;6819;CM000;Region de Los Lagos;QUELLON;http://;NO INGRESA;SI;NO
CM013;58710;CM000;Region de Los Lagos;QUELLON;http://corporacionquellon.cl/transparencia/?page_id=752;INGRESA;SI;SI
MU247;674;MU000;Region de Los Lagos;QUELLON;http://www.portaltransparencia.cl/PortalPdT/pdt-ficha-organismos/?org=MU247;INGRESA;SI;SI
MU248;675;MU000;Region de Los Lagos;QUEMCHI;http://www.municipalidadquemchi.cl/transpa/formulario.pdf;INGRESA;SI;SI
CM246;6821;CM000;Region de Los Lagos;QUINCHAO;http://;NO INGRESA;SI;NO
MU255;681;MU000;Region de Los Lagos;QUINCHAO;https://www.municipalidadquinchao.cl/transpasiva/;NO INGRESA;SI;SI
CM047;58873;CM000;Region de Los Lagos;QUINCHAO;http://;NO INGRESA;SI;NO
MA024;327652;ASOC;Region de Los Lagos;OSORNO;http://;INGRESA;SI;SI
CM270;6845;CM000;Region de Los Lagos;OSORNO;http://;INGRESA;SI;SI
AO034;888;AO000;Region de Los Lagos;OSORNO;http://transparencia.redsalud.gov.cl/transparencia/public/ssosorno/solicitud_informacion.html;INGRESA;SI;SI
MU191;624;MU000;Region de Los Lagos;OSORNO;http://transparencianew.imo.cl/contacto;INGRESA;SI;SI
AB057;811;AB000;Region de Los Lagos;OSORNO;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
UN015;1077;UN000;Region de Los Lagos;OSORNO;http://transparencia.ulagos.cl/?page_id=81;NO INGRESA;SI;NO
AO089;920;AO000;Region de Los Lagos;OSORNO;http://webhosting.redsalud.gov.cl/transparencia/public/AO089/solicitud_informacion.html;INGRESA;SI;SI
CM082;6657;CM000;Region de Los Lagos;OSORNO;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=0a8a20b41494f43482ee32b8648a04e8;INGRESA;SI;SI
MU235;664;MU000;Region de Los Lagos;PUERTO OCTAY;http://transparencia.puertoctay.cl/paginas/solicitar_informacion.html;INGRESA;SI;SI
MU242;670;MU000;Region de Los Lagos;PURRANQUE;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=732a33e6a669de939fcba22356500d14;INGRESA;SI;SI
MU245;672;MU000;Region de Los Lagos;PUYEHUE;http://www.puyehuechile.cl/site/FORMULARIO_DE_SOLICITUD_TRANSPARENCIA.pdf;INGRESA;SI;SI
MU274;697;MU000;Region de Los Lagos;RIO NEGRO;http://www.rionegrochile.cl/site/index.php?option=com_content&view=article&id=253&Itemid=4&lang=es;INGRESA;SI;SI
MU293;711;MU000;Region de Los Lagos;SAN JUAN DE LA COSTA;http://www.sanjuandelacosta.cl/transparencia/solicitud.php;INGRESA;SI;SI
MU296;714;MU000;Region de Los Lagos;SAN PABLO;http://sanpablo.cl/transparencia/;INGRESA;SI;SI
AB060;814;AB000;Region de Los Lagos;CHAITEN;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
MU036;489;MU000;Region de Los Lagos;CHAITEN;http://sinim.caschile.cl/transparencia_chaiten/contacto.php;INGRESA;SI;SI
MU095;542;MU000;Region de Los Lagos;FUTALEUFU;http://www.municipiostransparentes.cl/instituciones/ver/16/13;INGRESA;SI;SI
MU103;549;MU000;Region de Los Lagos;HUALAIHUE;http://www.municipalidadhualaihue.cl/documentos/solicitudinformacionpublica.doc;INGRESA;SI;SI
MU198;631;MU000;Region de Los Lagos;PALENA;http://www.municipalidadpalena.cl/solicitud-de-transparencia-activa.html;INGRESA;SI;SI
AP032;331463;AP000;Region de Los Lagos;;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1057;INGRESA;SI;SI
CM106;6681;CM000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;http://;NO INGRESA;SI;SI
AP033;331464;AP000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=1057;INGRESA;SI;SI
AO036;890;AO000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;http://transparencia.redsalud.gob.cl/transparencia/index.php?id=SSAYSEN;INGRESA;SI;SI
AB010;764;AB000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp;INGRESA;SI;NO
AO052;56352;AO000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;http://ssrma.transparencia.cl/tramites/disponibles;INGRESA;SI;SI
AO059;898;AO000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=01d0c5d2001f6984d37e41c5e9b22e63;INGRESA;SI;SI
MU070;519;MU000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;http://www.coyhaique.cl/portalmunicipalidad/files/Form_Transparencia.pdf;INGRESA;SI;SI
AB061;815;AB000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AB010;NO INGRESA;SI;NO
AP013;952;AP000;Region de Aysen del General Carlos Ibanez del Campo;COYHAIQUE;http://xi.serviu.cl/transparencia/actual/general/solicitud/solicitud.html;INGRESA;SI;SI
