organismo_codigo;fecha_publicacion_ta;nombre;numero_acto;denominacion_acto;activado
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA CONTRATO;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA CONTRATO;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA CONTRATO;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA CONTRATO;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA CONTRATO;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA CONTRATO;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA CONTRATO;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA CONTRATO;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion Exenta;<class 'str'>;ADJUDICA LICITACION;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;14-09-2022;Resolucion;<class 'str'>;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
