organismo_codigo;fecha_publicacion;anyo;mes;fecha;activado;descripcion
CM001;2021-11-08;2021;Abril;2021-04-30;SI;PASIVOS SALUD
CM001;2021-11-08;2021;Marzo;2021-03-30;SI;PASIVOS SALUD
CM001;2021-11-08;2021;Febrero;2021-02-28;SI;PASIVOS SALUD
CM001;2021-11-08;2021;Enero;2021-01-31;SI;PASIVOS SALUD
CM001;2021-11-08;2021;Abril;2021-04-30;SI;PASIVOS EDUCACION
CM001;2021-11-08;2021;Marzo;2021-03-01;SI;PASIVOS EDUCACION
CM001;2021-11-08;2021;Enero;2021-01-31;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Diciembre;2020-12-30;SI;PASIVOS SALUD
CM001;2021-11-08;2020;Diciembre;2020-12-30;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Noviembre;2020-11-30;SI;PASIVOS SALUD
CM001;2021-11-08;2020;Octubre;2020-10-31;SI;PASIVOS SALUD
CM001;2021-11-08;2020;Noviembre;2020-11-30;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Octubre;2020-10-30;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Septiembre;2020-09-30;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Agosto;2020-08-30;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Julio;2020-07-31;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Junio;2020-06-30;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Mayo;2020-05-31;SI;PASIVOS EDUCACION
CM001;2021-11-08;2020;Marzo;2020-03-31;SI;PASIVOS
CM001;2021-11-08;2020;Febrero;2020-02-29;SI;PASIVOS
CM001;2021-11-08;2020;Enero;2020-01-31;SI;PASIVOS
CM001;2021-11-08;2020;Abril;2020-04-30;SI;PASIVOS
CM001;2021-11-08;2018;Diciembre;2018-12-31;SI;PASIVOS DICIEMBRE 2018
CM001;2021-11-08;2018;Junio;2018-06-30;SI;PASIVOS JUNIO 2018
CM001;2021-11-08;2018;Mayo;2018-05-31;SI;PASIVOS MAYO 2018
CM001;2021-11-08;2018;Octubre;2018-10-31;SI;PASIVOS OCTUBRE 2018
CM001;2021-11-08;2018;Septiembre;2018-09-30;SI;PASIVOS SEPTIEMBRE 2018
